service_id,date,exception_type
21072083209-20170602141618_v54.27,20170710,2
21072083209-20170602141618_v54.27,20170711,2
21062052996-20170705140526_v55.10,20170717,2
21062052996-20170705140526_v55.10,20170714,2
21062052996-20170705140526_v55.10,20170720,2
21062052996-20170705140526_v55.10,20170713,2
21062052996-20170705140526_v55.10,20170721,2
21062052996-20170705140526_v55.10,20170718,2
21062052996-20170705140526_v55.10,20170719,2
50051083994-20170602141618_v54.27,20170616,1
15072900-20170602141618_v54.27,20170712,2
15072900-20170602141618_v54.27,20170710,2
15072900-20170602141618_v54.27,20170711,2
17000070465-20170602141618_v54.27,20170616,2
21054080598-20170602141618_v54.27,20170712,2
21054080598-20170602141618_v54.27,20170710,2
21054080598-20170602141618_v54.27,20170711,2
4010083226-20170705140526_v55.10,20170717,2
4010083226-20170705140526_v55.10,20170714,2
4010083226-20170705140526_v55.10,20170720,2
4010083226-20170705140526_v55.10,20170713,2
4010083226-20170705140526_v55.10,20170721,2
4010083226-20170705140526_v55.10,20170718,2
4010083226-20170705140526_v55.10,20170719,2
18260043205-20170602141618_v54.27,20170712,2
18260043205-20170602141618_v54.27,20170710,2
18260043205-20170602141618_v54.27,20170711,2
5580063439-20170705140526_v55.10,20170717,2
5580063439-20170705140526_v55.10,20170714,2
5580063439-20170705140526_v55.10,20170720,2
5580063439-20170705140526_v55.10,20170713,2
5580063439-20170705140526_v55.10,20170721,2
5580063439-20170705140526_v55.10,20170718,2
5580063439-20170705140526_v55.10,20170719,2
50051084008-20170602141618_v54.27,20170616,1
23500072603-20170602141618_v54.27,20170618,2
21217080518-20170705140526_v55.10,20170717,2
21217080518-20170705140526_v55.10,20170714,2
21217080518-20170705140526_v55.10,20170720,2
21217080518-20170705140526_v55.10,20170713,2
21217080518-20170705140526_v55.10,20170721,2
21217080518-20170705140526_v55.10,20170718,2
21217080518-20170705140526_v55.10,20170719,2
50051084011-20170602141618_v54.27,20170708,1
50051084011-20170602141618_v54.27,20170624,1
18264083189-20170602141618_v54.27,20170712,2
18264083189-20170602141618_v54.27,20170710,2
18264083189-20170602141618_v54.27,20170711,2
17000083788-20170602141618_v54.27,20170616,1
17000083903-20170602141618_v54.27,20170616,1
7006018791-20170602141618_v54.27,20170707,1
21206048451-20170705140526_v55.10,20170717,2
21206048451-20170705140526_v55.10,20170714,2
21206048451-20170705140526_v55.10,20170720,2
21206048451-20170705140526_v55.10,20170713,2
21206048451-20170705140526_v55.10,20170721,2
21206048451-20170705140526_v55.10,20170718,2
21206048451-20170705140526_v55.10,20170719,2
21073083210-20170705140526_v55.10,20170717,2
21073083210-20170705140526_v55.10,20170714,2
21073083210-20170705140526_v55.10,20170720,2
21073083210-20170705140526_v55.10,20170713,2
21073083210-20170705140526_v55.10,20170721,2
21073083210-20170705140526_v55.10,20170718,2
21073083210-20170705140526_v55.10,20170719,2
18119083099-20170705140526_v55.10,20170717,2
18119083099-20170705140526_v55.10,20170714,2
18119083099-20170705140526_v55.10,20170720,2
18119083099-20170705140526_v55.10,20170713,2
18119083099-20170705140526_v55.10,20170721,2
18119083099-20170705140526_v55.10,20170718,2
18119083099-20170705140526_v55.10,20170719,2
21229083213-20170705140526_v55.10,20170717,2
21229083213-20170705140526_v55.10,20170714,2
21229083213-20170705140526_v55.10,20170720,2
21229083213-20170705140526_v55.10,20170713,2
21229083213-20170705140526_v55.10,20170721,2
21229083213-20170705140526_v55.10,20170718,2
21229083213-20170705140526_v55.10,20170719,2
50051084000-20170602141618_v54.27,20170616,1
18199083146-20170705140526_v55.10,20170717,2
18199083146-20170705140526_v55.10,20170714,2
18199083146-20170705140526_v55.10,20170720,2
18199083146-20170705140526_v55.10,20170713,2
18199083146-20170705140526_v55.10,20170721,2
18199083146-20170705140526_v55.10,20170718,2
18199083146-20170705140526_v55.10,20170719,2
1085083095-20170602141618_v54.27,20170712,2
1085083095-20170602141618_v54.27,20170710,2
1085083095-20170602141618_v54.27,20170711,2
14100069371-20170602141618_v54.27,20170712,2
14100069371-20170602141618_v54.27,20170710,2
14100069371-20170602141618_v54.27,20170711,2
25083233-20170602141618_v54.27,20170712,2
25083233-20170602141618_v54.27,20170710,2
25083233-20170602141618_v54.27,20170711,2
18299072923-20170602141618_v54.27,20170712,2
18299072923-20170602141618_v54.27,20170710,2
18299072923-20170602141618_v54.27,20170711,2
18113080602-20170602141618_v54.27,20170712,2
18113080602-20170602141618_v54.27,20170710,2
18113080602-20170602141618_v54.27,20170711,2
21090080551-20170705140526_v55.10,20170717,2
21090080551-20170705140526_v55.10,20170714,2
21090080551-20170705140526_v55.10,20170720,2
21090080551-20170705140526_v55.10,20170713,2
21090080551-20170705140526_v55.10,20170721,2
21090080551-20170705140526_v55.10,20170718,2
21090080551-20170705140526_v55.10,20170719,2
18176043207-20170602141618_v54.27,20170712,2
18176043207-20170602141618_v54.27,20170710,2
18176043207-20170602141618_v54.27,20170711,2
21031043096-20170705140526_v55.10,20170717,2
21031043096-20170705140526_v55.10,20170714,2
21031043096-20170705140526_v55.10,20170720,2
21031043096-20170705140526_v55.10,20170713,2
21031043096-20170705140526_v55.10,20170721,2
21031043096-20170705140526_v55.10,20170718,2
21031043096-20170705140526_v55.10,20170719,2
14061043163-20170602141618_v54.27,20170712,2
14061043163-20170602141618_v54.27,20170710,2
14061043163-20170602141618_v54.27,20170711,2
23100072519-20170602141618_v54.27,20170708,1
23100072519-20170602141618_v54.27,20170624,1
50051084002-20170602141618_v54.27,20170616,1
5580063435-20170705140526_v55.10,20170717,2
5580063435-20170705140526_v55.10,20170714,2
5580063435-20170705140526_v55.10,20170720,2
5580063435-20170705140526_v55.10,20170713,2
5580063435-20170705140526_v55.10,20170721,2
5580063435-20170705140526_v55.10,20170718,2
5580063435-20170705140526_v55.10,20170719,2
1085083043-20170602141618_v54.27,20170712,1
1085083043-20170602141618_v54.27,20170710,1
1085083043-20170602141618_v54.27,20170711,1
17000083910-20170602141618_v54.27,20170616,1
