service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
3880005437-20170602141618_v54.27,20170611,20170712,0,0,0,0,0,1,0
1036082353-20170705140526_v55.10,20170713,20171001,0,0,0,0,0,1,1
1124079023-20170705140526_v55.10,20170713,20171001,0,0,0,0,0,1,0
3100034431-20170705140526_v55.10,20170713,20171001,0,0,0,0,0,1,1
14312054709-20170705140526_v55.10,20170713,20171001,0,0,0,0,0,1,0
7003018511-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
14756054247-20170602141618_v54.27,20170611,20170712,0,0,0,0,0,0,1
14797028760-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
6009015077-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,0,0
5505058354-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
6009033062-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
14277068313-20170705140526_v55.10,20170713,20171001,0,0,0,0,0,1,0
4957068888-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
14635042758-20170602141618_v54.27,20170611,20170712,0,0,0,0,0,1,0
2368074788-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
3880005478-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,0,0
4970069820-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,0,0
17000083895-20170602141618_v54.27,20170611,20170712,0,0,0,0,0,0,0
14299069541-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
14274053072-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
1080081246-20170602141618_v54.27,20170611,20170712,0,0,0,0,0,1,1
2366079407-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,0,0
1095078119-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
1092077968-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,1,1
50051071397-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,0,0
14703064140-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,0,0
5580063438-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
2326060907-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
1981053530-20170602141618_v54.27,20170611,20170712,0,0,0,0,0,1,0
3945041956-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
3887005760-20170705140526_v55.10,20170713,20171001,0,0,0,0,0,1,0
3100033898-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
14390058921-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,0,0
5500073013-20170705140526_v55.10,20170713,20171001,0,0,0,0,0,0,1
5580063583-20170602141618_v54.27,20170611,20170712,0,0,0,0,0,0,1
14731045649-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,0,0
5554011887-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
3813069730-20170602141618_v54.27,20170611,20170712,0,0,0,0,0,1,0
2371062025-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,0,0
49742069748-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
14249082010-20170705140526_v55.10,20170713,20171001,0,0,0,0,0,1,1
1087078707-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,0,0
1123078927-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,1,1
14390058945-20170602141618_v54.27,20170611,20170712,0,0,0,0,0,1,0
3100033820-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,0,0
14314060624-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
1095078187-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,1,0
1036082341-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,0,0
6009015114-20170705140526_v55.10,20170713,20171001,0,0,0,0,0,0,1
13221081341-20170705140526_v55.10,20170713,20171001,0,0,0,0,0,1,1
17000083866-20170602141618_v54.27,20170611,20170712,0,0,0,0,0,0,0
3100033986-20170602141618_v54.27,20170611,20170712,0,0,0,0,0,0,1
14771052786-20170705140526_v55.10,20170713,20171001,0,0,0,0,0,1,0
3100034344-20170705140526_v55.10,20170713,20171001,0,0,0,0,0,0,1
1985054049-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
12813041190-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
1034083252-20170705140526_v55.10,20170713,20171001,0,0,0,0,0,1,0
1063059811-20170602141618_v54.27,20170611,20170712,0,0,0,0,0,1,1
2376074998-20170602141618_v54.27,20170611,20170712,0,0,0,0,0,1,1
4972023836-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,0,0
1064073776-20170705140526_v55.10,20170713,20171001,0,0,0,0,0,1,0
1123078938-20170705140526_v55.10,20170713,20171001,0,0,0,0,0,1,1
14721047116-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
14306067677-20170705140526_v55.10,20170713,20171001,0,0,0,0,0,0,1
7003018517-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,0,0
2365061574-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
3813046693-20170705140526_v55.10,20170713,20171001,0,0,0,0,0,0,1
5565034773-20170602141618_v54.27,20170611,20170712,0,0,0,0,0,1,0
14798066054-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
1130082393-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
1982053675-20170602141618_v54.27,20170611,20170712,0,0,0,0,0,1,1
14731045764-20170602141618_v54.27,20170611,20170712,0,0,0,0,0,0,1
17000070501-20170602141618_v54.27,20170611,20170712,0,0,0,0,1,0,0
14731045657-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,0,0
5361074200-20170602141618_v54.27,20170611,20170712,0,0,0,0,0,0,1
5565034738-20170705140526_v55.10,20170713,20171001,0,0,0,0,0,1,0
1091077912-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,0,0
1982053738-20170705140526_v55.10,20170713,20171001,0,0,0,0,0,0,1
5500026654-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
5552034725-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,0,0
3100034391-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
14625040147-20170602141618_v54.27,20170611,20170712,0,0,0,0,0,1,0
14799064717-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,0,0
1057083128-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
51100070834-20170705140526_v55.10,20170713,20171001,0,0,0,0,0,0,1
21030083110-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,0,0
1065082681-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,0,0
14767040761-20170705140526_v55.10,20170713,20171001,0,0,0,0,0,1,0
14249081967-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,0,0
14267065313-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
2325074085-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
4975007240-20170602141618_v54.27,20170611,20170712,0,0,0,0,0,0,1
